[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 09:32:13.957	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/api/v1/quant/news.go:261	Meilisearch service not available, falling back to MySQL
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 16:37:24.789	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/service/quant/search_engine.go:102	博查AI 联网检索失败，回退默认引擎	{"keyword": "钨", "error": "解析博查AI 响应失败: json: cannot unmarshal number into Go struct field .code of type string"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 16:37:26.081	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/service/quant/search_engine.go:102	博查AI 联网检索失败，回退默认引擎	{"keyword": "钨", "error": "解析博查AI 响应失败: json: cannot unmarshal number into Go struct field .code of type string"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:45.569	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:46.249	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101	log viewer metadata seed skipped	{"node": "", "app_id": "", "env": "", "mod": "log-viewer", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": "", "error_msg": "find monitor menu: record not found", "error_stack": "github.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).assemble\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:64\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).log\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:75\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).Warn\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:80\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.ensureLogViewerMetadata\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.RegisterTables\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:95\nmain.initializeSystem\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:51\nmain.main\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:32\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:290"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:48.631	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:48.776	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:48.967	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:49.112	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:49.112	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:49.242	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
